23783,1077703917,0,admin_login,"2015-11-03 16:15:12",login,"a:1:{s:7:""general"";N;}",success,psingh,,adminhtml_sales_order_view,,64.60.116.237
23784,1077703917,0,index_management,"2015-11-03 16:16:05",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23785,1077703917,0,cms_pages,"2015-11-03 16:16:23",view,"a:1:{s:7:""general"";s:2:""76"";}",success,psingh,,adminhtml_cms_page_edit,,64.60.116.237
23786,1077703917,0,catalog_products,"2015-11-03 16:16:27",view,"a:1:{s:7:""general"";s:3:""770"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23787,1077703917,0,catalog_products,"2015-11-03 16:16:29",view,"a:1:{s:7:""general"";s:3:""771"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23788,1077703917,0,adminhtml_system_config,"2015-11-03 16:16:43",view,"a:1:{s:7:""general"";s:8:""carriers"";}",success,psingh,,adminhtml_system_config_edit,,64.60.116.237
23789,1077703917,0,adminhtml_system_config,"2015-11-03 16:17:06",save,"a:1:{s:7:""general"";s:8:""carriers"";}",success,psingh,,adminhtml_system_config_save,,64.60.116.237
23790,1077703917,0,cms_blocks,"2015-11-03 16:17:18",view,"a:1:{s:7:""general"";s:2:""36"";}",success,psingh,,adminhtml_cms_block_edit,,64.60.116.237
23791,1077703917,0,cms_blocks,"2015-11-03 16:17:22",save,"a:1:{s:7:""general"";s:2:""36"";}",success,psingh,,adminhtml_cms_block_save,,64.60.116.237
23792,1077703917,0,cms_blocks,"2015-11-03 16:17:22",view,"a:1:{s:7:""general"";s:2:""36"";}",success,psingh,,adminhtml_cms_block_edit,,64.60.116.237
23793,1077703917,0,catalog_products,"2015-11-03 16:20:55",view,"a:1:{s:7:""general"";s:3:""647"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23794,1077703917,0,catalog_products,"2015-11-03 16:21:06",save,"a:1:{s:7:""general"";s:3:""647"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23795,1077703917,0,cms_pages,"2015-11-03 16:21:36",view,"a:1:{s:7:""general"";s:2:""18"";}",success,psingh,,adminhtml_cms_page_edit,,64.60.116.237
23796,1077703917,0,catalog_categories,"2015-11-03 16:23:25",view,"a:1:{s:7:""general"";s:2:""98"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23797,1077703917,0,catalog_categories,"2015-11-03 16:23:37",view,"a:1:{s:7:""general"";s:2:""93"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23798,1077703917,0,catalog_categories,"2015-11-03 16:23:45",view,"a:1:{s:7:""general"";s:2:""97"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23799,1077703917,0,catalog_categories,"2015-11-03 16:23:59",view,"a:1:{s:7:""general"";s:2:""79"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23800,1077703917,0,catalog_categories,"2015-11-03 16:24:15",save,"a:1:{s:7:""general"";s:7:""79, 141"";}",success,psingh,,adminhtml_catalog_category_save,,64.60.116.237
23801,1077703917,0,catalog_categories,"2015-11-03 16:24:15",view,"a:1:{s:7:""general"";s:3:""141"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23802,1077703917,0,catalog_categories,"2015-11-03 16:24:48",view,"a:1:{s:7:""general"";s:2:""79"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23803,1077703917,0,catalog_categories,"2015-11-03 16:25:02",save,"a:1:{s:7:""general"";s:7:""79, 142"";}",success,psingh,,adminhtml_catalog_category_save,,64.60.116.237
23804,1077703917,0,catalog_categories,"2015-11-03 16:25:03",view,"a:1:{s:7:""general"";s:3:""142"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23805,1077703917,0,catalog_categories,"2015-11-03 16:25:17",view,"a:1:{s:7:""general"";s:2:""96"";}",success,psingh,,adminhtml_catalog_category_edit,,64.60.116.237
23806,1077703917,0,cms_pages,"2015-11-03 16:25:27",save,"a:1:{s:7:""general"";s:2:""18"";}",success,psingh,,adminhtml_cms_page_save,,64.60.116.237
23807,1077703917,0,catalog_products,"2015-11-03 16:26:08",save,"a:1:{s:7:""general"";s:3:""544"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23808,1077703917,0,catalog_products,"2015-11-03 16:26:26",save,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23809,1077703917,0,index_management,"2015-11-03 16:27:22",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23810,1077703917,0,cache_management,"2015-11-03 16:27:27",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23811,1077703917,0,catalog_products,"2015-11-03 16:28:51",view,"a:1:{s:7:""general"";s:3:""727"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23812,1077703917,0,catalog_products,"2015-11-03 16:30:20",save,"a:1:{s:7:""general"";s:3:""727"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
