23813,1077703917,0,catalog_products,"2015-11-03 16:31:43",save,"a:1:{s:7:""general"";s:3:""760"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23814,1077703917,0,catalog_products,"2015-11-03 16:32:55",save,"a:1:{s:7:""general"";s:3:""660"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23815,1077703917,0,catalog_products,"2015-11-03 16:33:43",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23816,1077703917,0,catalog_products,"2015-11-03 16:34:11",save,"a:1:{s:7:""general"";s:3:""653"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23817,1077703917,0,catalog_products,"2015-11-03 16:35:41",view,"a:1:{s:7:""general"";s:3:""566"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23818,1077703917,0,catalog_products,"2015-11-03 16:35:51",save,"a:1:{s:7:""general"";s:3:""726"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23819,1077703917,0,catalog_products,"2015-11-03 16:36:35",save,"a:1:{s:7:""general"";s:3:""566"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23820,1077703917,0,catalog_products,"2015-11-03 16:36:45",save,"a:1:{s:7:""general"";s:3:""566"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23821,1077703917,0,cache_management,"2015-11-03 16:36:49",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23822,1077703917,0,index_management,"2015-11-03 16:36:58",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23823,1077703917,0,catalog_products,"2015-11-03 16:38:47",save,"a:1:{s:7:""general"";s:3:""652"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23824,1077703917,0,catalog_products,"2015-11-03 16:39:25",save,"a:1:{s:7:""general"";s:3:""654"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23825,1077703917,0,catalog_products,"2015-11-03 16:40:04",save,"a:1:{s:7:""general"";s:3:""655"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23826,1077703917,0,index_management,"2015-11-03 16:40:35",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23827,1077703917,0,cache_management,"2015-11-03 16:40:39",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23828,1077703917,0,catalog_products,"2015-11-03 16:41:07",view,"a:1:{s:7:""general"";s:3:""732"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23829,1077703917,0,catalog_products,"2015-11-03 16:41:09",view,"a:1:{s:7:""general"";s:3:""732"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23830,1077703917,0,catalog_products,"2015-11-03 16:41:54",view,"a:1:{s:7:""general"";s:3:""580"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23831,1077703917,0,catalog_products,"2015-11-03 16:42:26",view,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23832,1077703917,0,catalog_products,"2015-11-03 16:44:11",save,"a:1:{s:7:""general"";s:3:""580"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23833,1077703917,0,catalog_products,"2015-11-03 16:45:21",save,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23834,1077703917,0,catalog_products,"2015-11-03 16:45:32",save,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23835,1077703917,0,catalog_products,"2015-11-03 16:45:35",save,"a:1:{s:7:""general"";s:3:""580"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23836,1077703917,0,cache_management,"2015-11-03 16:45:35",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23837,1077703917,0,index_management,"2015-11-03 16:45:41",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23838,1077703917,0,catalog_products,"2015-11-03 16:46:22",save,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23839,1077703917,0,catalog_products,"2015-11-03 16:47:44",save,"a:1:{s:7:""general"";s:3:""649"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23840,1077703917,0,catalog_products,"2015-11-03 16:48:11",save,"a:1:{s:7:""general"";s:3:""650"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23841,1077703917,0,catalog_products,"2015-11-03 16:49:00",save,"a:1:{s:7:""general"";s:3:""656"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23842,1077703917,0,catalog_products,"2015-11-03 16:50:20",save,"a:1:{s:7:""general"";s:3:""528"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23843,1077703917,0,catalog_products,"2015-11-03 16:52:20",save,"a:1:{s:7:""general"";s:3:""769"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23844,1077703917,0,catalog_products,"2015-11-03 16:52:35",view,"a:1:{s:7:""general"";s:3:""527"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23845,1077703917,0,catalog_products,"2015-11-03 16:52:45",save,"a:1:{s:7:""general"";s:3:""528"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23846,1077703917,0,catalog_products,"2015-11-03 16:52:59",save,"a:1:{s:7:""general"";s:3:""769"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23847,1077703917,0,catalog_products,"2015-11-03 16:53:11",save,"a:1:{s:7:""general"";s:3:""769"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23848,1077703917,0,index_management,"2015-11-03 16:53:12",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23849,1077703917,0,cache_management,"2015-11-03 16:53:17",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23850,1077703917,0,catalog_products,"2015-11-03 16:54:50",view,"a:1:{s:7:""general"";s:3:""716"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23851,1077703917,0,catalog_products,"2015-11-03 16:56:36",save,"a:1:{s:7:""general"";s:3:""716"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23852,1077703917,0,catalog_products,"2015-11-03 16:56:54",save,"a:1:{s:7:""general"";s:3:""716"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23853,1077703917,0,cache_management,"2015-11-03 16:56:55",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23854,1077703917,0,catalog_products,"2015-11-03 16:59:46",save,"a:1:{s:7:""general"";s:3:""701"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23855,1077703917,0,catalog_products,"2015-11-03 17:04:30",view,"a:1:{s:7:""general"";s:3:""655"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23856,1077703917,0,catalog_products,"2015-11-03 17:04:40",save,"a:1:{s:7:""general"";s:3:""544"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23857,1077703917,0,catalog_products,"2015-11-03 17:05:21",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23858,1077703917,0,catalog_products,"2015-11-03 17:10:16",save,"a:1:{s:7:""general"";s:3:""572"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23859,1077703917,0,catalog_products,"2015-11-03 17:11:54",save,"a:1:{s:7:""general"";s:3:""704"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23860,1077703917,0,catalog_products,"2015-11-03 17:12:08",save,"a:1:{s:7:""general"";s:3:""577"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23861,1077703917,0,catalog_products,"2015-11-03 17:12:53",save,"a:1:{s:7:""general"";s:3:""667"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23862,1077703917,0,cache_management,"2015-11-03 17:13:15",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23863,1077703917,0,index_management,"2015-11-03 17:13:25",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23864,1077703917,0,catalog_products,"2015-11-03 17:13:46",view,"a:1:{s:7:""general"";s:3:""600"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23865,1077703917,0,catalog_products,"2015-11-03 17:13:56",view,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23866,1077703917,0,catalog_products,"2015-11-03 17:15:48",save,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23867,1077703917,0,catalog_products,"2015-11-03 17:16:04",save,"a:1:{s:7:""general"";s:3:""599"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23868,1077703917,0,catalog_products,"2015-11-03 17:16:31",save,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23869,1077703917,0,catalog_products,"2015-11-03 17:16:49",view,"a:1:{s:7:""general"";s:3:""662"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23870,1077703917,0,catalog_products,"2015-11-03 17:17:07",delete,"a:1:{s:7:""general"";s:3:""662"";}",success,psingh,,adminhtml_catalog_product_delete,,64.60.116.237
23871,1077703917,0,catalog_products,"2015-11-03 17:17:19",view,"a:1:{s:7:""general"";s:3:""663"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23872,1077703917,0,catalog_products,"2015-11-03 17:20:45",save,"a:1:{s:7:""general"";s:3:""663"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23873,1077703917,0,catalog_products,"2015-11-03 17:20:52",save,"a:1:{s:7:""general"";s:3:""600"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23874,1077703917,0,catalog_products,"2015-11-03 17:21:37",view,"a:1:{s:7:""general"";s:3:""599"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23875,1077703917,0,catalog_products,"2015-11-03 17:22:25",view,"a:1:{s:7:""general"";s:3:""583"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23876,1077703917,0,catalog_products,"2015-11-03 17:22:35",view,"a:1:{s:7:""general"";s:3:""659"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23877,1077703917,0,catalog_products,"2015-11-03 17:24:12",save,"a:1:{s:7:""general"";s:3:""583"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23878,1077703917,0,catalog_products,"2015-11-03 17:24:16",save,"a:1:{s:7:""general"";s:3:""659"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23879,1077703917,0,catalog_products,"2015-11-03 17:26:00",save,"a:1:{s:7:""general"";s:3:""548"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23880,1077703917,0,catalog_products,"2015-11-03 17:26:21",save,"a:1:{s:7:""general"";s:3:""572"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23881,1077703917,0,catalog_products,"2015-11-03 17:26:37",save,"a:1:{s:7:""general"";s:3:""667"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23882,1077703917,0,catalog_products,"2015-11-03 17:26:57",save,"a:1:{s:7:""general"";s:3:""704"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23883,1077703917,0,catalog_products,"2015-11-03 17:27:22",save,"a:1:{s:7:""general"";s:3:""727"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23884,1077703917,0,catalog_products,"2015-11-03 17:27:51",save,"a:1:{s:7:""general"";s:3:""575"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23885,1077703917,0,catalog_products,"2015-11-03 17:28:07",save,"a:1:{s:7:""general"";s:3:""576"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23886,1077703917,0,catalog_products,"2015-11-03 17:28:34",save,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23887,1077703917,0,catalog_products,"2015-11-03 17:28:52",save,"a:1:{s:7:""general"";s:3:""663"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23888,1077703917,0,catalog_products,"2015-11-03 17:29:13",save,"a:1:{s:7:""general"";s:3:""536"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23889,1077703917,0,catalog_products,"2015-11-03 17:29:33",save,"a:1:{s:7:""general"";s:3:""573"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23890,1077703917,0,catalog_products,"2015-11-03 17:29:53",save,"a:1:{s:7:""general"";s:3:""574"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23891,1077703917,0,catalog_products,"2015-11-03 17:30:08",save,"a:1:{s:7:""general"";s:3:""716"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23892,1077703917,0,index_management,"2015-11-03 17:30:49",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23893,1077703917,0,cache_management,"2015-11-03 17:30:55",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23894,1077703917,0,catalog_products,"2015-11-03 17:34:07",view,"a:1:{s:7:""general"";s:3:""752"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23895,1077703917,0,catalog_products,"2015-11-03 17:35:07",save,"a:1:{s:7:""general"";s:3:""752"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23896,1077703917,0,catalog_products,"2015-11-03 17:35:30",save,"a:1:{s:7:""general"";s:3:""752"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23897,1077703917,0,cache_management,"2015-11-03 17:35:33",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23898,1077703917,0,catalog_products,"2015-11-03 17:36:34",save,"a:1:{s:7:""general"";s:3:""737"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23899,1077703917,0,catalog_products,"2015-11-03 17:37:28",view,"a:1:{s:7:""general"";s:3:""663"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23900,1077703917,0,catalog_products,"2015-11-03 17:37:35",save,"a:1:{s:7:""general"";s:3:""663"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23901,1077703917,0,catalog_products,"2015-11-03 17:37:46",save,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23902,1077703917,0,catalog_products,"2015-11-03 17:38:05",save,"a:1:{s:7:""general"";s:3:""737"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23903,1077703917,0,catalog_products,"2015-11-03 17:41:27",save,"a:1:{s:7:""general"";s:3:""600"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23904,1077703917,0,catalog_products,"2015-11-03 17:41:51",save,"a:1:{s:7:""general"";s:3:""661"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23905,1077703917,0,cache_management,"2015-11-03 17:42:04",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23906,1077703917,0,index_management,"2015-11-03 17:42:20",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23907,1077703917,0,catalog_products,"2015-11-03 17:44:01",save,"a:1:{s:7:""general"";s:3:""737"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23908,1077703917,0,catalog_products,"2015-11-03 17:47:41",view,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23909,1077703917,0,catalog_products,"2015-11-03 17:49:08",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23910,1077703917,0,catalog_products,"2015-11-03 17:50:30",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23911,1077703917,0,index_management,"2015-11-03 17:50:43",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23912,1077703917,0,cache_management,"2015-11-03 17:50:50",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23913,1077703917,0,catalog_products,"2015-11-03 17:51:23",view,"a:1:{s:7:""general"";s:3:""653"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23914,1077703917,0,catalog_products,"2015-11-03 17:51:43",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23915,1077703917,0,catalog_products,"2015-11-03 17:52:08",save,"a:1:{s:7:""general"";s:3:""653"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23916,1077703917,0,catalog_products,"2015-11-03 17:54:00",view,"a:1:{s:7:""general"";s:3:""729"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23917,1077703917,0,catalog_products,"2015-11-03 17:54:37",save,"a:1:{s:7:""general"";s:3:""729"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23918,1077703917,0,catalog_products,"2015-11-03 17:54:59",save,"a:1:{s:7:""general"";s:3:""729"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23919,1077703917,0,cache_management,"2015-11-03 17:57:41",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23920,1077703917,0,index_management,"2015-11-03 17:57:49",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23921,1077703917,0,enterprise_banner,"2015-11-03 18:03:18",view,"a:1:{s:7:""general"";s:1:""7"";}",success,psingh,,adminhtml_banner_edit,,64.60.116.237
23922,1077703917,0,enterprise_banner,"2015-11-03 18:03:30",save,"a:1:{s:7:""general"";s:1:""7"";}",success,psingh,,adminhtml_banner_save,,64.60.116.237
23923,1077703917,0,enterprise_banner,"2015-11-03 18:03:51",save,"a:1:{s:7:""general"";s:1:""7"";}",success,psingh,,adminhtml_banner_save,,64.60.116.237
23924,1077703917,0,catalog_products,"2015-11-03 18:05:32",view,"a:1:{s:7:""general"";s:3:""653"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23925,1077703917,0,catalog_products,"2015-11-03 18:05:49",view,"a:1:{s:7:""general"";s:3:""731"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23926,1077703917,0,catalog_products,"2015-11-03 18:05:54",view,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_edit,,64.60.116.237
23927,1077703917,0,catalog_products,"2015-11-03 18:06:06",save,"a:1:{s:7:""general"";s:3:""590"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23928,1077703917,0,catalog_products,"2015-11-03 18:06:22",save,"a:1:{s:7:""general"";s:3:""668"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23929,1077703917,0,catalog_products,"2015-11-03 18:06:55",save,"a:1:{s:7:""general"";s:3:""667"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23930,1077703917,0,catalog_products,"2015-11-03 18:07:13",save,"a:1:{s:7:""general"";s:3:""704"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23931,1077703917,0,catalog_products,"2015-11-03 18:08:11",save,"a:1:{s:7:""general"";s:3:""569"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23932,1077703917,0,catalog_products,"2015-11-03 18:08:27",save,"a:1:{s:7:""general"";s:3:""727"";}",success,psingh,,adminhtml_catalog_product_save,,64.60.116.237
23933,1077703917,0,index_management,"2015-11-03 18:09:04",massUpdate,"a:1:{s:7:""general"";s:4:""1, 9"";}",success,psingh,,adminhtml_process_massReindex,,64.60.116.237
23934,1077703917,0,cache_management,"2015-11-03 18:09:11",save,"a:1:{s:7:""general"";s:105:""Cache types: config, layout, block_html, translate, collections, eav, config_api, config_api2, full_page "";}",success,psingh,,adminhtml_cache_massRefresh,,64.60.116.237
23935,1077703917,0,cms_blocks,"2015-11-03 18:09:29",view,"a:1:{s:7:""general"";s:2:""16"";}",success,psingh,,adminhtml_cms_block_edit,,64.60.116.237
23936,1077703917,0,cms_blocks,"2015-11-03 18:09:58",save,"a:1:{s:7:""general"";s:2:""16"";}",success,psingh,,adminhtml_cms_block_save,,64.60.116.237
23937,1077703917,0,cms_blocks,"2015-11-03 18:09:58",view,"a:1:{s:7:""general"";s:2:""16"";}",success,psingh,,adminhtml_cms_block_edit,,64.60.116.237
23938,1077703917,0,cms_blocks,"2015-11-03 18:11:10",save,"a:1:{s:7:""general"";s:2:""16"";}",success,psingh,,adminhtml_cms_block_save,,64.60.116.237
