"Product Name","Product Type","SKU","URL","Image","Price","On/Off"
"Vitality &ldquo;SHOT&rdquo;","","EVS2B","vitality-shot-web-exclusive","/v/i/vitality-shot-2_1.jpg","56.0000","Catalog"
"Throat & Tonsil Formula","","ETTB","throat-tonsil-tincture-special","/t/h/throat-tonsil_formula-2_1.jpg","48.0000","Catalog"
"SuperFood 100 ""Large Size""","","ESF100LB","superfood-100-270-tablets-1","/s/f/sf100_270ct_2_1.jpg","180.0000","Search"
"Super-C Plus","Powder","ESCBPB","super-c-plus-powder-1","/s/u/super-c-powder_2_1_1_1.jpg","48.0000","Catalog"
"Cayenne Tincture","","ECTB","cayenne-tincture-1","/c/a/cayenne_tincture_2_1.jpg","44.0000","Search"
"Super Ginseng","","ESGB","super-ginseng-1","/s/u/super-ginseng-2_1.jpg","64.0000","Catalog"
"Cold & Flu Herbal &ldquo;SHOT&rdquo;","","SCF6S2","combo-special-buy-2-get-1-free","/c/_/c_f-2_1.jpg","168.0000","Catalog, Search"
"Echinacea Plus - ECH+","","SEPB2","echinacea-plus-2oz-buy-2-get-1-free","/e/c/ech-2_1.jpg","60.0000","Catalog, Search"
"Cold & Flu Herbal &ldquo;SHOT&rdquo;","","KCFS6","cold-and-flu-6-pack","/c/-/c-_-f-shot-box_1_4_1.jpg","84.0000","Catalog, Search"
"SuperFood 100 Kids","","ECSF100B","superfood-100-kids-one-day-web-exclusives","/s/f/sf-kids-2_1.jpg","48.0000","Catalog"
"SuperMeal","","SSMB21F","supermeal-web-exclusives","/s/u/supermeal-2_1.jpg","148.0000","Catalog, Search"
"Jojoba & Tea Tree Oil","","EJOB","jojoba-tea-tree-oil-web-exclusive","/j/o/jojoba-oil-2_1_1.jpg","30.0000","Catalog, Search"
"Jojoba & Tea Tree Ointment","","EJOOB","jojoba-tea-tree-ointment-web-exclusive","","30.0000","Catalog, Search"
"SuperMeal","","ESM20","supermeal-web-exclusive","/s/u/supermeal_w-new-button_1_1.jpg","57.0000","Catalog, Search"
"SuperTonic (2-oz)","","SSTB2","super-tonic-special-1-html","/s/u/supertonic_2_1_1_1.jpg","48.0000","Catalog, Search"
"Super-C Plus","Tablets","SSCTB21F","super-c-plus-tablets-special-1","/s/u/super-c_tablets_2_1.jpg","56.0000","Catalog, Search"
"Super-C-Plus-Tablets-Large","Tablets","ISCTL","super-c-plus-tablets-large","/s/u/super-c-360_tablets-570.jpg","76.0000","Catalog"
"SuperMeal","","SSM20","supermeal-special-20","/s/u/supermeal_w-new-button_1_1_1.jpg","59.0000","Catalog, Search"
"Daily Oral Therapy","","SOT10","daily-oral-therapy-special-10","/d/a/daily-oral-therapy-570_1_4.jpg","28.0000","Catalog, Search"
"Super-C Plus","Tablets","SSCT20","super-c-plus-tablets-special-20","/s/u/super-c-tablets-570_2_5.jpg","22.0000","Catalog, Search"
"Air Detox ""Large Size""","","SAD410","air-detox-4oz-special-10","/a/i/air-detox-4-oz-570_2_1.jpg","21.0000","Catalog, Search"
"Super-C Plus","Powder","SSCBP20","super-c-plus-powder-20","/s/u/super-c-powder-570_2_7.jpg","19.0000","Catalog, Search"
"Brain Formula","","SBF10","brain-formula-special-10","/b/r/brain-formula-570_1_3.jpg","25.0000","Catalog, Search"
"Heart Formula","","SHF10","heart-formula-special","/h/e/heart-formula-570_1_3.jpg","25.0000","Catalog, Search"
"Digestive ""SHOT""","","EDSB","digestive-shot-3-pack-2-for-1","/9/0/90568111-1453-435e-883c-2e7f04e571ae_herbdoc.local.jpeg","84.0000","Catalog"
"Super-C-Plus-Tablets-Large","Tablets","SSCTL20","super-c-plus-tablets-large-1","/s/u/super-c-360_tablets-570_2.jpg","76.0000","Catalog"
"5-Day BOWEL Detox - Capsules","Capsules","SBDCB220","5-day-bowel-detox-program-capsules-1","/3/4/34dd51d3-6367-46a7-9fed-1ace1f2fedf4_herbdoc.local_1.jpeg","108.0000","Catalog"
"5-Day BOWEL Detox - Packets","Packets","SBDPB220","5-day-bowel-detox-program-packets-1","/3/4/34dd51d3-6367-46a7-9fed-1ace1f2fedf4_herbdoc.local.jpeg","108.0000","Catalog, Search"
"Dr. Schulze’s Personal Cold & Flu Routine","","SCFPS","dr-schulze-personal-cold-and-flu-routine","/c/o/cold-_-flu-special-group.jpg","129.0000","Catalog, Search"
"Daily Oral Therapy","","SOTB21F","daily-oral-therapy-special-11","/o/r/oral_therapy_2_1_1.jpg","64.0000","Catalog, Search"
"5-Day LIVER Detox","","SLG15","5-day-liver-detox-program-new","/l/i/liver-detox-kit-570_1_1_3.jpg","66.0000","Catalog, Search"
