26062,403653543,0,admin_login,"2016-01-06 17:18:31",login,"a:1:{s:7:""general"";N;}",failure,eczar,15,adminhtml_index_index,,24.15.67.167
26063,403653543,0,admin_login,"2016-01-06 17:18:37",login,"a:1:{s:7:""general"";N;}",success,eczar,15,adminhtml_index_index,,24.15.67.167
26064,403653543,0,cache_management,"2016-01-06 17:18:53",save,"a:1:{s:7:""general"";s:24:""Cache types: block_html "";}",success,eczar,15,adminhtml_cache_massRefresh,,24.15.67.167
26065,403653543,0,index_management,"2016-01-06 17:18:57",reindex_process,"a:1:{s:7:""general"";i:1;}",success,eczar,15,adminhtml_process_reindexProcess,,24.15.67.167
26066,403653543,0,index_management,"2016-01-06 17:20:46",reindex_process,"a:1:{s:7:""general"";i:1;}",success,eczar,15,adminhtml_process_reindexProcess,,24.15.67.167
26067,1077703917,0,admin_login,"2016-01-06 19:39:25",login,"a:1:{s:7:""general"";N;}",success,dallen,18,adminhtml_dashboard_index,,64.60.116.237
26068,1077703917,0,cms_blocks,"2016-01-06 19:39:37",view,"a:1:{s:7:""general"";s:1:""7"";}",success,dallen,18,adminhtml_cms_block_edit,,64.60.116.237
26069,1077703917,0,cms_blocks,"2016-01-06 19:40:06",save,"a:1:{s:7:""general"";s:1:""7"";}",success,dallen,18,adminhtml_cms_block_save,,64.60.116.237
26070,1077703917,0,admin_login,"2016-01-06 20:28:03",login,"a:1:{s:7:""general"";N;}",success,jnuccio,,adminhtml_index_index,,64.60.116.237
26071,1077703917,0,catalog_products,"2016-01-06 20:38:01",view,"a:1:{s:7:""general"";s:3:""577"";}",success,jnuccio,,adminhtml_catalog_product_edit,,64.60.116.237
26072,1077703917,0,enterprise_banner,"2016-01-06 20:38:46",view,"a:1:{s:7:""general"";s:1:""9"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26073,1077703917,0,enterprise_banner,"2016-01-06 20:39:11",view,"a:1:{s:7:""general"";s:2:""11"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26074,1077703917,0,enterprise_banner,"2016-01-06 20:39:27",view,"a:1:{s:7:""general"";s:1:""9"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26075,1077703917,0,enterprise_banner,"2016-01-06 20:39:43",view,"a:1:{s:7:""general"";s:1:""8"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26076,1077703917,0,enterprise_banner,"2016-01-06 20:39:54",view,"a:1:{s:7:""general"";s:1:""5"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26077,1077703917,0,enterprise_banner,"2016-01-06 20:40:03",view,"a:1:{s:7:""general"";s:1:""7"";}",success,jnuccio,,adminhtml_banner_edit,,64.60.116.237
26078,1077703917,0,enterprise_banner,"2016-01-06 20:40:23",save,"a:1:{s:7:""general"";s:1:""7"";}",success,jnuccio,,adminhtml_banner_save,,64.60.116.237
26079,1077703917,0,cms_blocks,"2016-01-06 20:41:28",view,"a:1:{s:7:""general"";s:2:""16"";}",success,jnuccio,,adminhtml_cms_block_edit,,64.60.116.237
26080,1077703917,0,cms_blocks,"2016-01-06 20:41:45",save,"a:1:{s:7:""general"";s:2:""16"";}",success,jnuccio,,adminhtml_cms_block_save,,64.60.116.237
26081,1077703917,0,catalog_products,"2016-01-06 20:46:57",view,"a:1:{s:7:""general"";s:3:""731"";}",success,jnuccio,,adminhtml_catalog_product_edit,,64.60.116.237
26082,1077703917,0,catalog_products,"2016-01-06 20:48:46",view,"a:1:{s:7:""general"";s:3:""590"";}",success,jnuccio,,adminhtml_catalog_product_edit,,64.60.116.237
26083,1077703917,0,catalog_products,"2016-01-06 20:59:30",save,"a:1:{s:7:""general"";s:3:""731"";}",success,jnuccio,,adminhtml_catalog_product_save,,64.60.116.237
26084,1077703917,0,admin_login,"2016-01-06 21:03:54",login,"a:1:{s:7:""general"";N;}",success,jnuccio,,adminhtml_index_index,,64.60.116.237
26085,1077703917,0,catalog_products,"2016-01-06 21:09:54",view,"a:1:{s:7:""general"";s:3:""785"";}",success,jnuccio,,adminhtml_catalog_product_edit,,64.60.116.237
26086,1077703917,0,catalog_products,"2016-01-06 21:10:08",save,"a:1:{s:7:""general"";s:3:""785"";}",success,jnuccio,,adminhtml_catalog_product_save,,64.60.116.237
